pdb_id,multiplicity,oxidation
1y0z,5,2
2q4a,6,3
1zz7,5,2
1zz8,5,2
1zz9,5,2
3scf,5,2
3scg,5,2
4j1w,5,2
4j1x,5,2
5u57,5,2
5u58,5,2
6n2w,5,2
6ncf,5,2
5u8x,5,2
5u8z,5,2
3o8y,5,2
3v92,5,2
3v98,5,2
3v99,5,2
7ttj,5,2
7ttl,5,2
5ir4,5,2
5ir5,5,2
2iuj,5,2
5j53,5,2
5j54,5,2
5j55,5,2
7qr6,5,2
6xma,5,2
1s9a,6,3
3o32,6,3
3o5u,6,3
3o6j,6,3
3o6r,6,3
2xsr,6,3
2xsu,6,3
2xsv,6,3
3hgi,6,3
3hhx,6,3
3hhy,6,3
3hj8,6,3
3hjq,6,3
3hjs,6,3
3hkp,6,3
3i4v,6,3
3i4y,6,3
3i51,6,3
1dlm,6,3
1dlq,6,3
1dlt,6,3
1dmh,6,3
2azq,6,3
1f8n,5,2
1y4k,5,2
3pzw,5,2
1fgm,5,2
1fgo,5,2
1fgq,5,2
1fgr,5,2
1fgt,5,2
1yge,5,2
2sbl,5,2
5tqn,5,2
5tqo,5,2
5tqp,5,2
5tr0,5,2
3bnb,6,3
3bnc,6,3
3bnd,6,3
3bne,6,3
4wha,6,3
5t5v,6,3
4g32,5,2
4g33,5,2
5lc8,5,2
2gcu,5,2
4chl,6,3
7lvz,5,2
1mpy,5,2
3hpv,6,3
3hpy,6,3
3hq0,6,3
3eln,5,2
4ieo,5,2
4iep,5,2
4ieq,5,2
4ier,5,2
4ies,5,2
4iet,5,2
4ieu,5,2
4iev,5,2
4iew,5,2
4iex,5,2
4iey,5,2
4iez,5,2
4jtn,5,2
4jto,5,2
4kwj,5,2
4kwk,5,2
4kwl,5,2
4ubg,5,2
4yyo,5,2
4z82,5,2
2ic1,5,2
6bgf,5,2
6bgm,5,2
6bpr,5,2
6bps,5,2
6bpt,5,2
6bpu,5,2
6bpv,5,2
6bpw,5,2
6bpx,5,2
6cdh,5,2
6cdn,5,2
6n42,5,2
6e87,5,2
4pix,5,2
4piy,5,2
4piz,5,2
4pjy,5,2
4xet,5,2
4xez,5,2
4xf0,5,2
4xf1,5,2
4xf3,5,2
4xf4,5,2
4xf9,5,2
4xfb,5,2
4xfc,5,2
4xff,5,2
4xfg,5,2
4xfh,5,2
4xfi,5,2
5i0r,5,2
5i0s,5,2
5i0t,5,2
5i0u,5,2
6n43,5,2
7chj,5,2
7chi,5,2
7cxz,5,2
4qm8,5,2
4qm9,5,2
2b5h,6,3
2gh2,6,3
6u4l,6,3
6u4s,6,3
